Product Number,Description,Replaces
1051931-62,"Module, Flex, Discrete, 8 Out",
1051931-55,"Module, Flex, Discrete, 16 Inp",
1051931-5,"Module, Flex, Discrete, 16 Inp",1014214-11
1051931-4,"Module, Flex, Analog, 8 Inp",1014214-10
1051931-32,"Module, Flex, Fast Rtd/tc, 8 Inp",1051931-28
1051931-31,"Module, Flex, Adapter",1051931-27
1051931-28,"Module, Flex, Fast Rtd/tc, 8 Inp",
1051931-27,"Module, Controller, Controlnet",1014215-27
1051931-12,"Module, Flex, Discrete, 8 Out",1014214-33
1051931-11,"Module, Flex, Speed, 2 Inp",1014214-30
1046415-61,"Module, Communication, Dh+",27000084
1046415-58,"Module, Controller, Controlnet",
1046415-55,"Module, Communication",
1046415-41,"Module, Communication, Ethernet",
1046415-23,"Module, Communication, Modbus",
1089240-35,"Module, Flex, Fast Analog, 4 Inp",1051931-9
1089240-37,"Module, Flex, Fast Analog, 4 Out",
1089240-36,"Module, Flex, Fast Analog, 2",1051931-8
1089240-33,"Module, Flex, Fast Counter, 2 Inp",1089240-26
1089240-34,"Module, Flex, Adapter",1051931-31
1908163-29,"Module, Power Supply",
1908163-2,"Module, Ethernet/ip",
1908163-10,"Module, Analog Input",
1908163-9,"Module, Analog Input",
1908163-25,"Module, Analog Output",
1908163-7,"Module, Discrete Output",
1908163-1,"Module, Logic Module",
1908163-6,"Module, Discrete Input",
1908163-5,"Module, Discrete Input",
1908163-8,"Module, Discrete Output",
1577350-11,"Module, End Cap",
1577350-8,"Module, Discrete Output",
1577350-5,"Module, Rtd",
1577350-9,"Module, Combination",
1577350-7,"Module, Discrete Output",
1577350-10,"Module, Combination",
1577350-1,"Module, Logic Module",
1577350-6,"Module, Discrete Output",
1577350-2,"Module, Power Supply",
1577350-4,"Module, Analog Input",
1479385-2,"Module, Communication, Hart",
1503048-1,"Module, Relay Output",
1479385-1,"Module, Communication, Hart",
1129119-4,"Module, Flex, 16 Inp",
1780753-1,"Module, Power Supply",
1089241-35,"Module, Redundancy-rm2xt",1046415-18
1089241-A8250,"Module, Fieldbus",
1089241-6,"Module, Redundancy-rmxt",
1034549-70N2,"Module, Vib, Axial Position, Bn",
1057608-7,Module,
1057608-3,Module,
1057608-1,Module,
1051931-7,"Module, Flex, 8 Inp",
1014215-5,"Module, Communication, Dh+",
1038124-96,"Module, Vib, Filler, Bn 3500",
1038124-82,"Module, Vib, Management, Bn 3500",
1038124-63,"Module, Vib, Management, Bn 3500",
1089241-45,"Module, Communication, Ethernet",
1089241-43,"Module, Controller",
2684693-22,"Module, Flex, Adapter",
2684693-26,"Module, Flex, Analog, 8 Inp, Hart",
2684693-23,"Module, Flex, Discrete, 16 Inp",
2684693-33,"Module, Flex, Univ, Anlg, 8 Inp",
2684693-27,"Module, Flex, Analog, 8 Out, Hart",
2684693-36,"Module, Flex, Rtd/tc, Sfty, Anlg, 8",
2684693-34,"Module, Flex, Relay, 8 Out",
2684693-29,"Module, Flex, Sfty, Disc, 16 Out",
2684693-25,"Module, Flex, Discrete, 8 Out",
2684693-24,"Module, Flex, Discrete, 16 Out",
2684693-32,"Module, Flex, Sfty, Freq, 2 Inp",
2684693-28,"Module, Flex, Disc, Sfty, 16 Inp",
2684693-30,"Module, Flex, Sfty, Anlg, 4 Inp",
2684693-31,"Module, Flex, Sfty, Anlg, 4 Out",
2762566-9,"Module, Vib, Communication, Orbit",
2762566-13,"Module, Vib, Dynamic Measurement",
2762566-5,"Module, Vib, Power Supply, Orbit",
2762566-17,"Module, Vib, Relay, Orbit 60",
2762566-7,"Module, Vib, Management, Orbit 60",
2762566-8,"Module, Vib, Communication, Orbit",
2762566-12,"Module, Vib, Dynamic Measurement",
2762566-11,"Module, Vib, Dynamic Measurement",
2762566-6,"Module, Vib, Management, Orbit 60",
2684693-55,"Module, Flex, Sfty, Disc, 16 Out",
1089240-41,"Module, Flex, Fast Rtd/tc, 8 Inp",1089240-28
2867874-2,"Module, Modbus Converter",
2867874-1,"Module, Modbus",
1089240-38,"Module, Flex, Fast Counter, 2 Inp",1089240-26
1089240-39,"Module, Flex, Fast Analog, 4 Inp",1089240-9
2684693-52,"Module, Flex, Discrete, 32 Out",
2684693-53,"Module, Flex, Freq, 2 Inp",
2684693-50,"Module, Flex, Adapter",
2684693-51,"Module, Flex, Discrete, 32 Inp",
605732C1,"Module, Relay Output",
1046415-62,"Module, Communication",
1051931-15,"Module, Flex, Fast Rtd/tc, 8 Inp",
120662-8,"Module, Vib, Acceleration",
1046415-14,"Module, Communication, Dh+",
120662-17,"Module, Vib, Acceleration",120662-2
1322418-10,"Module, Vib, Dynamic Measurement",
1051931-30,"Module, Flex, Fast Rtd/tc, 8 Inp",
1051931-51,"Module, Flex, Dry Contact",1014214-2
1046415-67,"Module, Communication, Dh+",
120662-2,"Module, Vib, Acceleration",
1046415-59,"Module, Controller, Controlnet",
1049089-2,"Module, Communication, Hart",
1322418-30,"Module, Vib, Tachometer, Ra 1444",
1089240-27,"Module, Flex, Fast Rtd/tc, 8 Inp",
1051931-33,"Module, Flex, Fast Rtd/tc, 8 Inp",1051931-32
1051931-9,"Module, Flex, Fast Analog, 4 Inp",1014214-18
1051931-13,"Module, Flex, Discrete, 10 Inp/6",1014214-34
1089241-41,"Module, Communication",1046415-65
186985-5,"Module, Vib, Acceleration",
1089241-5,"Module, Communication, Ethernet",
1089241-24,"Module, Communication, Ethernet",1046415-17
1088442-2,"Module, Vib, Xm, Xm Net",
1051931-64,"Module, Flex, Discrete, 16 Out",
1051931-3,"Module, Flex, Analog, 4 Inp/2 Out",
1051931-14,"Module, Flex, Discrete, 16 Out",1014214-35
1051931-10,"Module, Flex, Fast Analog, 4 Out",1014214-28
1051931-1,"Module, Flex, Dry Contact",
1046415-65,"Module, Communication",
1046415-22,"Module, Filler",
1046415-17,"Module, Communication, Ethernet",
1046415-16,"Module, Communication, Ethernet",
1038124-20,"Module, Plc5, Communication",
1007301-52,"Module, Controller",
1089240-28,"Module, Flex, Fast Rtd/tc, 8 Inp",1089240-27
1089240-26,"Module, Flex, Fast Counter, 2 Inp",
1089240-13,"Module, Flex, Fast Rtd/tc, 8 Inp",
1089240-1,"Module, Flex, Adapter",1051931-31
120662-18,"Module, Vib, Acceleration",120662-8
120662-14,"Module, Vib, Acceleration",